place_name,place_country,lat,lon
Allahabad,India,25.47,81.85
Ayodhya,India,26.79,82.2
Balasore,India,21.5,86.92
Bandel,India,22.9342,88.3714
Bengaluru,India,12.9716,77.5946
Bhubaneswar,India,20.2667,85.8333
Bishnupur,India,23.0672,87.3215
Bodhgaya,India,24.6964,84.9914
Chandannagar,India,22.8647,88.363258
Chitrakoot,India,25.1765,80.8674
Cuttack,India,20.5231,85.7881
Durgapur,India,23.55,87.32
Gaya,India,24.75,85.01
Hyderabad,India,17.366,78.476
Jabalpur,India,23.1,79.59
Kharagpur,India,22.33,87.22
Kolkata,India,22.5726,88.3639
Lepakshi,India,13.8039,77.6077
Lucknow,India,26.85,80.95
Mysore,India,12.3,76.6
Nagpur,India,21.15,79.09
Puri,India,19.8133,85.8317
Sarnath,India,25.378,83.0251
Somanathapura,India,12.2758,76.8822
Srirangapatnam,India,12.414,76.704
Varanasi,India,25.32,82.97
Vijaywada,India,16.52,80.62
Vishakhapatnam,India,17.73,83.31
